AKT	ASK1	-1
AKT	BAD	-1
AKT	CFLAR	1
AKT	FOXO	-1
AKT	GSK3	-1
AKT	IKKA	1
AKT	MDM2	1
AKT	Raf	-1
AKT	TSC2	-1
AKT	pras40	-1
ASK1	MKK3	1
Axin	betaTrCP	1
BAD	BCL2	-1
BAX	CytochromeC	1
BCL2	CytochromeC	-1
CFLAR	Caspase8	-1
CK1	betaTrCP	1
CytochromeC	Caspase9	1
DKK1	LRP	-1
DKK1gene	DKK1	1
DUSP1	JNK1	-1
DUSP1	p38alpha	-1
DUSP6	ERK	-1
Dvl	GSK3	-1
Dvl	Rac	1
ERK	DUSP6	1
ERK	GAB	-1
ERK	GSK3	-1
ERK	IRS1	-1
ERK	LRP	1
ERK	MEK	-1
ERK	MSK	1
ERK	RSK	1
ERK	Raf	-1
ERK	SOS	-1
ERK	TSC2	-1
Egr1	PTENgene	1
FOXO	RTPKgene	1
Fz	Dvl	1
Fz	LRP	1
GAB	PI3K	1
GAB	SHP2	1
GRAP2	MKK4	1
GRAP2	MKK7	1
GRB2	GAB	1
GRB2	SOS	1
GSK3	PTEN	-1
GSK3	TSC2	1
GSK3	betaTrCP	1
IKKA	NFkB	1
IKKA	betacatenin	1
IKKB	IRS1	-1
IKKB	MAP3K8	1
IKKB	NFkB	1
IKKB	TSC2	-1
IRS1	PI3K	1
ITCH	CFLAR	-1
JNK1	ITCH	1
JNK1	LRP	1
LEF	MMP	1
LRP	Axin	-1
LRP	CK1	-1
LRP	GSK3	-1
MAP3K8	MEK	1
MDM2	p53	-1
MDM2gene	MDM2	1
MEK	ERK	1
MEK	RTPK	-1
MEKK4	MKK4	1
MKK3	p38alpha	1
MKK4	JNK1	1
MKK4	p38alpha	1
MKK7	JNK1	1
MLK3	MKK4	1
MMP	RTPK	1
MSK	DUSP1	1
MSK	NFkB	1
NFkB	MDM2gene	1
NLK	FOXO	-1
NLK	TCF	-1
PDK1	AKT	1
PDK1	RSK	1
PDK1	S6K	1
PI3K	PDK1	1
PTEN	PDK1	-1
PTEN	SHC1	-1
PTENgene	PTEN	1
RSK	BAD	-1
RSK	GSK3	-1
RSK	TSC2	-1
RSK	mTORC1	1
RTPK	SHC1	1
RTPKgene	RTPK	1
Rac	MEKK4	1
Rac	MLK3	1
Raf	MEK	1
Ras	PI3K	1
Ras	Raf	1
Rheb	Raf	-1
Rheb	mTORC1	1
S6K	GSK3	-1
S6K	IRS1	-1
S6K	MDM2	-1
S6K	mTORC2	-1
SFRP1	Fz	-1
SFRP1gene	SFRP1	1
SHC1	GRB2	1
SHP2	Ras	1
SOS	Ras	1
TAB1	TAK1	1
TAK1	IKKB	1
TAK1	MKK3	1
TAK1	MKK4	1
TAK1	MKK7	1
TAK1	NLK	1
TCF	DKK1gene	1
TCF	Egr1	-1
TCF	cMYC	1
TSC2	Rheb	-1
TSC2	mTORC2	1
betaTrCP	betacatenin	-1
betacatenin	LEF	1
betacatenin	TCF	1
cMYC	DKK1gene	-1
cMYC	SFRP1gene	-1
mTORC1	DUSP6	1
mTORC1	S6K	1
mTORC2	AKT	1
mTORC2	Rac	1
p38alpha	DUSP1	1
p38alpha	GRAP2	-1
p38alpha	GSK3	-1
p38alpha	LRP	1
p38alpha	MSK	1
p38alpha	RTPK	-1
p38alpha	TAB1	-1
p38alpha	p53	1
p53	BAX	1
p53	IKKB	-1
p53	MDM2gene	1
pras40	mTORC1	-1
